                0)                                                                                                                             0
                1)                                                                                                                             1
                2)                                                                                                                             1
                3)                                                                                                                             2
                4)                                                                                                                             3
                5)                                                                                                                             5
                6)                                                                                                                             8
                7)                                                                                                                            13
                8)                                                                                                                            21
                9)                                                                                                                            34
               10)                                                                                                                            55
               11)                                                                                                                            89
               12)                                                                                                                           144
               13)                                                                                                                           233
               14)                                                                                                                           377
               15)                                                                                                                           610
               16)                                                                                                                           987
               17)                                                                                                                         1.597
               18)                                                                                                                         2.584
               19)                                                                                                                         4.181
               20)                                                                                                                         6.765
               21)                                                                                                                        10.946
               22)                                                                                                                        17.711
               23)                                                                                                                        28.657
               24)                                                                                                                        46.368
               25)                                                                                                                        75.025
               26)                                                                                                                       121.393
               27)                                                                                                                       196.418
               28)                                                                                                                       317.811
               29)                                                                                                                       514.229
               30)                                                                                                                       832.040
               31)                                                                                                                     1.346.269  (Milhoes)
               32)                                                                                                                     2.178.309  (Milhoes)
               33)                                                                                                                     3.524.578  (Milhoes)
               34)                                                                                                                     5.702.887  (Milhoes)
               35)                                                                                                                     9.227.465  (Milhoes)
               36)                                                                                                                    14.930.352  (Milhoes)
               37)                                                                                                                    24.157.817  (Milhoes)
               38)                                                                                                                    39.088.169  (Milhoes)
               39)                                                                                                                    63.245.986  (Milhoes)
               40)                                                                                                                   102.334.155  (Milhoes)
               41)                                                                                                                   165.580.141  (Milhoes)
               42)                                                                                                                   267.914.296  (Milhoes)
               43)                                                                                                                   433.494.437  (Milhoes)
               44)                                                                                                                   701.408.733  (Milhoes)
               45)                                                                                                                 1.134.903.170  (Bilhoes)
               46)                                                                                                                 1.836.311.903  (Bilhoes)
               47)                                                                                                                 2.971.215.073  (Bilhoes)
               48)                                                                                                                 4.807.526.976  (Bilhoes)
               49)                                                                                                                 7.778.742.049  (Bilhoes)
               50)                                                                                                                12.586.269.025  (Bilhoes)
               51)                                                                                                                20.365.011.074  (Bilhoes)
               52)                                                                                                                32.951.280.099  (Bilhoes)
               53)                                                                                                                53.316.291.173  (Bilhoes)
               54)                                                                                                                86.267.571.272  (Bilhoes)
               55)                                                                                                               139.583.862.445  (Bilhoes)
               56)                                                                                                               225.851.433.717  (Bilhoes)
               57)                                                                                                               365.435.296.162  (Bilhoes)
               58)                                                                                                               591.286.729.879  (Bilhoes)
               59)                                                                                                               956.722.026.041  (Bilhoes)
               60)                                                                                                             1.548.008.755.920  (Trilhoes)
               61)                                                                                                             2.504.730.781.961  (Trilhoes)
               62)                                                                                                             4.052.739.537.881  (Trilhoes)
               63)                                                                                                             6.557.470.319.842  (Trilhoes)
               64)                                                                                                            10.610.209.857.723  (Trilhoes)
               65)                                                                                                            17.167.680.177.565  (Trilhoes)
               66)                                                                                                            27.777.890.035.288  (Trilhoes)
               67)                                                                                                            44.945.570.212.853  (Trilhoes)
               68)                                                                                                            72.723.460.248.141  (Trilhoes)
               69)                                                                                                           117.669.030.460.994  (Trilhoes)
               70)                                                                                                           190.392.490.709.135  (Trilhoes)
               71)                                                                                                           308.061.521.170.129  (Trilhoes)
               72)                                                                                                           498.454.011.879.264  (Trilhoes)
               73)                                                                                                           806.515.533.049.393  (Trilhoes)
               74)                                                                                                         1.304.969.544.928.657  (Quadrilhoes)
               75)                                                                                                         2.111.485.077.978.050  (Quadrilhoes)
               76)                                                                                                         3.416.454.622.906.707  (Quadrilhoes)
               77)                                                                                                         5.527.939.700.884.757  (Quadrilhoes)
               78)                                                                                                         8.944.394.323.791.464  (Quadrilhoes)
               79)                                                                                                        14.472.334.024.676.221  (Quadrilhoes)
               80)                                                                                                        23.416.728.348.467.685  (Quadrilhoes)
               81)                                                                                                        37.889.062.373.143.906  (Quadrilhoes)
               82)                                                                                                        61.305.790.721.611.591  (Quadrilhoes)
               83)                                                                                                        99.194.853.094.755.497  (Quadrilhoes)
               84)                                                                                                       160.500.643.816.367.088  (Quadrilhoes)
               85)                                                                                                       259.695.496.911.122.585  (Quadrilhoes)
               86)                                                                                                       420.196.140.727.489.673  (Quadrilhoes)
               87)                                                                                                       679.891.637.638.612.258  (Quadrilhoes)
               88)                                                                                                     1.100.087.778.366.101.931  (Quintilhoes)
               89)                                                                                                     1.779.979.416.004.714.189  (Quintilhoes)
               90)                                                                                                     2.880.067.194.370.816.120  (Quintilhoes)
               91)                                                                                                     4.660.046.610.375.530.309  (Quintilhoes)
               92)                                                                                                     7.540.113.804.746.346.429  (Quintilhoes)
               93)                                                                                                    12.200.160.415.121.876.738  (Quintilhoes)
               94)                                                                                                    19.740.274.219.868.223.167  (Quintilhoes)
               95)                                                                                                    31.940.434.634.990.099.905  (Quintilhoes)
               96)                                                                                                    51.680.708.854.858.323.072  (Quintilhoes)
               97)                                                                                                    83.621.143.489.848.422.977  (Quintilhoes)
               98)                                                                                                   135.301.852.344.706.746.049  (Quintilhoes)
               99)                                                                                                   218.922.995.834.555.169.026  (Quintilhoes)
              100)                                                                                                   354.224.848.179.261.915.075  (Quintilhoes)
              101)                                                                                                   573.147.844.013.817.084.101  (Quintilhoes)
              102)                                                                                                   927.372.692.193.078.999.176  (Quintilhoes)
              103)                                                                                                 1.500.520.536.206.896.083.277  (Sextilhoes)
              104)                                                                                                 2.427.893.228.399.975.082.453  (Sextilhoes)
              105)                                                                                                 3.928.413.764.606.871.165.730  (Sextilhoes)
              106)                                                                                                 6.356.306.993.006.846.248.183  (Sextilhoes)
              107)                                                                                                10.284.720.757.613.717.413.913  (Sextilhoes)
              108)                                                                                                16.641.027.750.620.563.662.096  (Sextilhoes)
              109)                                                                                                26.925.748.508.234.281.076.009  (Sextilhoes)
              110)                                                                                                43.566.776.258.854.844.738.105  (Sextilhoes)
